Filename,Transcript,Word_Count
bbaf2n.mpg,bin blue at f two now,6
bbaf3s.mpg,bin blue at f three soon,6
bbaf4p.mpg,bin blue at f four please,6
bbaf5a.mpg,bin blue at f five again,6
bbal6n.mpg,bin blue at l six now,6
bbal7s.mpg,bin blue at l seven soon,6
bbal8p.mpg,bin blue at l eight please,6
bbal9a.mpg,bin blue at l nine again,6
bbas1s.mpg,bin blue at s one soon,6
bbas2p.mpg,bin blue at s two please,6
bbas3a.mpg,bin blue at s three again,6
bbaszn.mpg,bin blue at s zero now,6
bbaz4n.mpg,bin blue at z four now,6
bbaz5s.mpg,bin blue at z five soon,6
bbaz6p.mpg,bin blue at z six please,6
bbaz7a.mpg,bin blue at z seven again,6
bbbf6n.mpg,bin blue by f six now,6
bbbf7s.mpg,bin blue by f seven soon,6
bbbf8p.mpg,bin blue by f eight please,6
bbbf9a.mpg,bin blue by f nine again,6
bbbm1s.mpg,bin blue by m one soon,6
bbbm2p.mpg,bin blue by m two please,6
bbbm3a.mpg,bin blue by m three again,6
bbbmzn.mpg,bin blue by m zero now,6
bbbs4n.mpg,bin blue by s four now,6
bbbs5s.mpg,bin blue by s five soon,6
bbbs6p.mpg,bin blue by s six please,6
bbbs7a.mpg,bin blue by s seven again,6
bbbz8n.mpg,bin blue by z eight now,6
bbbz9s.mpg,bin blue by z nine soon,6
bbie8n.mpg,bin blue in e eight now,6
bbie9s.mpg,bin blue in e nine soon,6
bbif1a.mpg,bin blue in f one again,6
bbifzp.mpg,bin blue in f zero please,6
bbil2n.mpg,bin blue in l two now,6
bbil3s.mpg,bin blue in l three soon,6
bbil4p.mpg,bin blue in l four please,6
bbil5a.mpg,bin blue in l five again,6
bbir6n.mpg,bin blue in r six now,6
bbir7s.mpg,bin blue in r seven soon,6
bbir8p.mpg,bin blue in r eight please,6
bbir9a.mpg,bin blue in r nine again,6
bbiz1s.mpg,bin blue in z one soon,6
bbiz2p.mpg,bin blue in z two please,6
bbiz3a.mpg,bin blue in z three again,6
bbizzn.mpg,bin blue in z zero now,6
bbwg1s.mpg,bin blue with g one soon,6
bbwg2p.mpg,bin blue with g two please,6
bbwg3a.mpg,bin blue with g three again,6
bbwgzn.mpg,bin blue with g zero now,6
bbwm4n.mpg,bin blue with m four now,6
bbwm5s.mpg,bin blue with m five soon,6
bbwm6p.mpg,bin blue with m six please,6
bbwm7a.mpg,bin blue with m seven again,6
bbws8n.mpg,bin blue with s eight now,6
bbws9s.mpg,bin blue with s nine soon,6
bbwt1a.mpg,bin blue with t one again,6
bbwtzp.mpg,bin blue with t zero please,6
bgaa6n.mpg,bin green at a six now,6
bgaa7s.mpg,bin green at a seven soon,6
bgaa8p.mpg,bin green at a eight please,6
bgaa9a.mpg,bin green at a nine again,6
bgah1s.mpg,bin green at h one soon,6
bgah2p.mpg,bin green at h two please,6
bgah3a.mpg,bin green at h three again,6
bgahzn.mpg,bin green at h zero now,6
bgan4n.mpg,bin green at n four now,6
bgan5s.mpg,bin green at n five soon,6
bgan6p.mpg,bin green at n six please,6
bgan7a.mpg,bin green at n seven again,6
bgat8n.mpg,bin green at t eight now,6
bgat9s.mpg,bin green at t nine soon,6
bgau1a.mpg,bin green at u one again,6
bgauzp.mpg,bin green at u zero please,6
bgbb1s.mpg,bin green by b one soon,6
bgbb2p.mpg,bin green by b two please,6
bgbb3a.mpg,bin green by b three again,6
bgbbzn.mpg,bin green by b zero now,6
bgbh4n.mpg,bin green by h four now,6
bgbh5s.mpg,bin green by h five soon,6
bgbh6p.mpg,bin green by h six please,6
bgbh7a.mpg,bin green by h seven again,6
bgbn8n.mpg,bin green by n eight now,6
bgbn9s.mpg,bin green by n nine soon,6
bgbo1a.mpg,bin green by o one again,6
bgbozp.mpg,bin green by o zero please,6
bgbu2n.mpg,bin green by u two now,6
bgbu3s.mpg,bin green by u three soon,6
bgbu4p.mpg,bin green by u four please,6
bgbu5a.mpg,bin green by u five again,6
bgia2n.mpg,bin green in a two now,6
bgia3s.mpg,bin green in a three soon,6
bgia4p.mpg,bin green in a four please,6
bgia5a.mpg,bin green in a five again,6
bgig6n.mpg,bin green in g six now,6
bgig7s.mpg,bin green in g seven soon,6
bgig8p.mpg,bin green in g eight please,6
bgig9a.mpg,bin green in g nine again,6
bgin1s.mpg,bin green in n one soon,6
bgin2p.mpg,bin green in n two please,6
bgin3a.mpg,bin green in n three again,6
bginzn.mpg,bin green in n zero now,6
bgit4n.mpg,bin green in t four now,6
bgit5s.mpg,bin green in t five soon,6
bgit6p.mpg,bin green in t six please,6
bgit7a.mpg,bin green in t seven again,6
bgwb4n.mpg,bin green with b four now,6
bgwb5s.mpg,bin green with b five soon,6
bgwb6p.mpg,bin green with b six please,6
bgwb7a.mpg,bin green with b seven again,6
bgwh8n.mpg,bin green with h eight now,6
bgwh9s.mpg,bin green with h nine soon,6
bgwi1a.mpg,bin green with i one again,6
bgwizp.mpg,bin green with i zero please,6
bgwo2n.mpg,bin green with o two now,6
bgwo3s.mpg,bin green with o three soon,6
bgwo4p.mpg,bin green with o four please,6
bgwo5a.mpg,bin green with o five again,6
bgwu6n.mpg,bin green with u six now,6
bgwu7s.mpg,bin green with u seven soon,6
bgwu8p.mpg,bin green with u eight please,6
bgwu9a.mpg,bin green with u nine again,6
braf8n.mpg,bin red at f eight now,6
braf9s.mpg,bin red at f nine soon,6
brag1a.mpg,bin red at g one again,6
bragzp.mpg,bin red at g zero please,6
bram2n.mpg,bin red at m two now,6
bram3s.mpg,bin red at m three soon,6
bram4p.mpg,bin red at m four please,6
bram5a.mpg,bin red at m five again,6
bras6n.mpg,bin red at s six now,6
bras7s.mpg,bin red at s seven soon,6
bras8p.mpg,bin red at s eight please,6
bras9a.mpg,bin red at s nine again,6
brba1a.mpg,bin red by a one again,6
brbazp.mpg,bin red by a zero please,6
brbg2n.mpg,bin red by g two now,6
brbg3s.mpg,bin red by g three soon,6
brbg4p.mpg,bin red by g four please,6
brbg5a.mpg,bin red by g five again,6
brbm6n.mpg,bin red by m six now,6
brbm7s.mpg,bin red by m seven soon,6
brbm8p.mpg,bin red by m eight please,6
brbm9a.mpg,bin red by m nine again,6
brbt1s.mpg,bin red by t one soon,6
brbt2p.mpg,bin red by t two please,6
brbt3a.mpg,bin red by t three again,6
brbtzn.mpg,bin red by t zero now,6
brif4n.mpg,bin red in f four now,6
brif5s.mpg,bin red in f five soon,6
brif6p.mpg,bin red in f six please,6
brif7a.mpg,bin red in f seven again,6
bril8n.mpg,bin red in l eight now,6
bril9s.mpg,bin red in l nine soon,6
brim1a.mpg,bin red in m one again,6
brimzp.mpg,bin red in m zero please,6
bris2n.mpg,bin red in s two now,6
bris3s.mpg,bin red in s three soon,6
bris4p.mpg,bin red in s four please,6
bris5a.mpg,bin red in s five again,6
briz6n.mpg,bin red in z six now,6
briz7s.mpg,bin red in z seven soon,6
briz8p.mpg,bin red in z eight please,6
briz9a.mpg,bin red in z nine again,6
brwa2n.mpg,bin red with a two now,6
brwa3s.mpg,bin red with a three soon,6
brwa4p.mpg,bin red with a four please,6
brwa5a.mpg,bin red with a five again,6
brwg6n.mpg,bin red with g six now,6
brwg7s.mpg,bin red with g seven soon,6
brwg8p.mpg,bin red with g eight please,6
brwg9a.mpg,bin red with g nine again,6
brwn1s.mpg,bin red with n one soon,6
brwn2p.mpg,bin red with n two please,6
brwn3a.mpg,bin red with n three again,6
brwnzn.mpg,bin red with n zero now,6
brwt4n.mpg,bin red with t four now,6
brwt5s.mpg,bin red with t five soon,6
brwt6p.mpg,bin red with t six please,6
brwt7a.mpg,bin red with t seven again,6
bwaa1s.mpg,bin white at a one soon,6
bwaa2p.mpg,bin white at a two please,6
bwaa3a.mpg,bin white at a three again,6
bwaazn.mpg,bin white at a zero now,6
bwag4n.mpg,bin white at g four now,6
bwag5s.mpg,bin white at g five soon,6
bwag6p.mpg,bin white at g six please,6
bwag7a.mpg,bin white at g seven again,6
bwam8n.mpg,bin white at m eight now,6
bwam9s.mpg,bin white at m nine soon,6
bwan1a.mpg,bin white at n one again,6
bwanzp.mpg,bin white at n zero please,6
bwat2n.mpg,bin white at t two now,6
bwat3s.mpg,bin white at t three soon,6
bwat4p.mpg,bin white at t four please,6
bwat5a.mpg,bin white at t five again,6
bwba4n.mpg,bin white by a four now,6
bwba5s.mpg,bin white by a five soon,6
bwba6p.mpg,bin white by a six please,6
bwba7a.mpg,bin white by a seven again,6
bwbg8n.mpg,bin white by g eight now,6
bwbg9s.mpg,bin white by g nine soon,6
bwbh1a.mpg,bin white by h one again,6
bwbhzp.mpg,bin white by h zero please,6
bwbn2n.mpg,bin white by n two now,6
bwbn3s.mpg,bin white by n three soon,6
bwbn4p.mpg,bin white by n four please,6
bwbn5a.mpg,bin white by n five again,6
bwbt6n.mpg,bin white by t six now,6
bwbt7s.mpg,bin white by t seven soon,6
bwbt8p.mpg,bin white by t eight please,6
bwbt9a.mpg,bin white by t nine again,6
bwig1s.mpg,bin white in g one soon,6
bwig2p.mpg,bin white in g two please,6
bwig3a.mpg,bin white in g three again,6
bwigzn.mpg,bin white in g zero now,6
bwim4n.mpg,bin white in m four now,6
bwim5s.mpg,bin white in m five soon,6
bwim6p.mpg,bin white in m six please,6
bwim7a.mpg,bin white in m seven again,6
bwis8n.mpg,bin white in s eight now,6
bwis9s.mpg,bin white in s nine soon,6
bwit1a.mpg,bin white in t one again,6
bwitzp.mpg,bin white in t zero please,6
bwwa8n.mpg,bin white with a eight now,6
bwwa9s.mpg,bin white with a nine soon,6
bwwb1a.mpg,bin white with b one again,6
bwwbzp.mpg,bin white with b zero please,6
bwwh2n.mpg,bin white with h two now,6
bwwh3s.mpg,bin white with h three soon,6
bwwh4p.mpg,bin white with h four please,6
bwwh5a.mpg,bin white with h five again,6
bwwn6n.mpg,bin white with n six now,6
bwwn7s.mpg,bin white with n seven soon,6
bwwn8p.mpg,bin white with n eight please,6
bwwn9a.mpg,bin white with n nine again,6
bwwu1s.mpg,bin white with u one soon,6
bwwu2p.mpg,bin white with u two please,6
bwwu3a.mpg,bin white with u three again,6
bwwuzn.mpg,bin white with u zero now,6
lbad6n.mpg,lay blue at d six now,6
lbad7s.mpg,lay blue at d seven soon,6
lbad8p.mpg,lay blue at d eight please,6
lbad9a.mpg,lay blue at d nine again,6
lbak1s.mpg,lay blue at k one soon,6
lbak2p.mpg,lay blue at k two please,6
lbak3a.mpg,lay blue at k three again,6
lbakzn.mpg,lay blue at k zero now,6
lbaq4n.mpg,lay blue at q four now,6
lbaq5s.mpg,lay blue at q five soon,6
lbaq6p.mpg,lay blue at q six please,6
lbaq7a.mpg,lay blue at q seven again,6
lbax8n.mpg,lay blue at x eight now,6
lbax9s.mpg,lay blue at x nine soon,6
lbay1a.mpg,lay blue at y one again,6
lbayzp.mpg,lay blue at y zero please,6
lbbe1s.mpg,lay blue by e one soon,6
lbbe2p.mpg,lay blue by e two please,6
lbbe3a.mpg,lay blue by e three again,6
lbbezn.mpg,lay blue by e zero now,6
lbbk4n.mpg,lay blue by k four now,6
lbbk5s.mpg,lay blue by k five soon,6
lbbk6p.mpg,lay blue by k six please,6
lbbk7a.mpg,lay blue by k seven again,6
lbbq8n.mpg,lay blue by q eight now,6
lbbq9s.mpg,lay blue by q nine soon,6
lbbr1a.mpg,lay blue by r one again,6
lbbrzp.mpg,lay blue by r zero please,6
lbby2n.mpg,lay blue by y two now,6
lbby3s.mpg,lay blue by y three soon,6
lbby4p.mpg,lay blue by y four please,6
lbby5a.mpg,lay blue by y five again,6
lbid2n.mpg,lay blue in d two now,6
lbid3s.mpg,lay blue in d three soon,6
lbid4p.mpg,lay blue in d four please,6
lbid5a.mpg,lay blue in d five again,6
lbij6n.mpg,lay blue in j six now,6
lbij7s.mpg,lay blue in j seven soon,6
lbij8p.mpg,lay blue in j eight please,6
lbij9a.mpg,lay blue in j nine again,6
lbiq1s.mpg,lay blue in q one soon,6
lbiq2p.mpg,lay blue in q two please,6
lbiq3a.mpg,lay blue in q three again,6
lbiqzn.mpg,lay blue in q zero now,6
lbix4n.mpg,lay blue in x four now,6
lbix5s.mpg,lay blue in x five soon,6
lbix6p.mpg,lay blue in x six please,6
lbix7a.mpg,lay blue in x seven again,6
lbwe4n.mpg,lay blue with e four now,6
lbwe5s.mpg,lay blue with e five soon,6
lbwe6p.mpg,lay blue with e six please,6
lbwe7a.mpg,lay blue with e seven again,6
lbwk8n.mpg,lay blue with k eight now,6
lbwk9s.mpg,lay blue with k nine soon,6
lbwl1a.mpg,lay blue with l one again,6
lbwlzp.mpg,lay blue with l zero please,6
lbwr2n.mpg,lay blue with r two now,6
lbwr3s.mpg,lay blue with r three soon,6
lbwr4p.mpg,lay blue with r four please,6
lbwr5a.mpg,lay blue with r five again,6
lbwy6n.mpg,lay blue with y six now,6
lbwy7s.mpg,lay blue with y seven soon,6
lbwy8p.mpg,lay blue with y eight please,6
lbwy9a.mpg,lay blue with y nine again,6
lgaf4n.mpg,lay green at f four now,6
lgaf5s.mpg,lay green at f five soon,6
lgaf6p.mpg,lay green at f six please,6
lgaf7a.mpg,lay green at f seven again,6
lgal8n.mpg,lay green at l eight now,6
lgal9s.mpg,lay green at l nine soon,6
lgam1a.mpg,lay green at m one again,6
lgamzp.mpg,lay green at m zero please,6
lgas2n.mpg,lay green at s two now,6
lgas3s.mpg,lay green at s three soon,6
lgas4p.mpg,lay green at s four please,6
lgas5a.mpg,lay green at s five again,6
lgaz6n.mpg,lay green at z six now,6
lgaz7s.mpg,lay green at z seven soon,6
lgaz8p.mpg,lay green at z eight please,6
lgaz9a.mpg,lay green at z nine again,6
lgbf8n.mpg,lay green by f eight now,6
lgbf9s.mpg,lay green by f nine soon,6
lgbg1a.mpg,lay green by g one again,6
lgbgzp.mpg,lay green by g zero please,6
lgbm2n.mpg,lay green by m two now,6
lgbm3s.mpg,lay green by m three soon,6
lgbm4p.mpg,lay green by m four please,6
lgbm5a.mpg,lay green by m five again,6
lgbs6n.mpg,lay green by s six now,6
lgbs7s.mpg,lay green by s seven soon,6
lgbs8p.mpg,lay green by s eight please,6
lgbs9a.mpg,lay green by s nine again,6
lgif1s.mpg,lay green in f one soon,6
lgif2p.mpg,lay green in f two please,6
lgif3a.mpg,lay green in f three again,6
lgifzn.mpg,lay green in f zero now,6
lgil4n.mpg,lay green in l four now,6
lgil5s.mpg,lay green in l five soon,6
lgil6p.mpg,lay green in l six please,6
lgil7a.mpg,lay green in l seven again,6
lgir8n.mpg,lay green in r eight now,6
lgir9s.mpg,lay green in r nine soon,6
lgis1a.mpg,lay green in s one again,6
lgiszp.mpg,lay green in s zero please,6
lgiz2n.mpg,lay green in z two now,6
lgiz3s.mpg,lay green in z three soon,6
lgiz4p.mpg,lay green in z four please,6
lgiz5a.mpg,lay green in z five again,6
lgwa1a.mpg,lay green with a one again,6
lgwazp.mpg,lay green with a zero please,6
lgwg2n.mpg,lay green with g two now,6
lgwg3s.mpg,lay green with g three soon,6
lgwg4p.mpg,lay green with g four please,6
lgwg5a.mpg,lay green with g five again,6
lgwm6n.mpg,lay green with m six now,6
lgwm7s.mpg,lay green with m seven soon,6
lgwm8p.mpg,lay green with m eight please,6
lgwm9a.mpg,lay green with m nine again,6
lgwt1s.mpg,lay green with t one soon,6
lgwt2p.mpg,lay green with t two please,6
lgwt3a.mpg,lay green with t three again,6
lgwtzn.mpg,lay green with t zero now,6
lrae2n.mpg,lay red at e two now,6
lrae3s.mpg,lay red at e three soon,6
lrae4p.mpg,lay red at e four please,6
lrae5a.mpg,lay red at e five again,6
lrak6n.mpg,lay red at k six now,6
lrak7s.mpg,lay red at k seven soon,6
lrak8p.mpg,lay red at k eight please,6
lrak9a.mpg,lay red at k nine again,6
lrar1s.mpg,lay red at r one soon,6
lrar2p.mpg,lay red at r two please,6
lrar3a.mpg,lay red at r three again,6
lrarzn.mpg,lay red at r zero now,6
lray4n.mpg,lay red at y four now,6
lray5s.mpg,lay red at y five soon,6
lray6p.mpg,lay red at y six please,6
lray7a.mpg,lay red at y seven again,6
lrbe6n.mpg,lay red by e six now,6
lrbe7s.mpg,lay red by e seven soon,6
lrbe8p.mpg,lay red by e eight please,6
lrbe9a.mpg,lay red by e nine again,6
lrbl1s.mpg,lay red by l one soon,6
lrbl2p.mpg,lay red by l two please,6
lrbl3a.mpg,lay red by l three again,6
lrblzn.mpg,lay red by l zero now,6
lrbr4n.mpg,lay red by r four now,6
lrbr5s.mpg,lay red by r five soon,6
lrbr6p.mpg,lay red by r six please,6
lrbr7a.mpg,lay red by r seven again,6
lrby8n.mpg,lay red by y eight now,6
lrby9s.mpg,lay red by y nine soon,6
lrbz1a.mpg,lay red by z one again,6
lrbzzp.mpg,lay red by z zero please,6
lrid8n.mpg,lay red in d eight now,6
lrid9s.mpg,lay red in d nine soon,6
lrie1a.mpg,lay red in e one again,6
lriezp.mpg,lay red in e zero please,6
lrik2n.mpg,lay red in k two now,6
lrik3s.mpg,lay red in k three soon,6
lrik4p.mpg,lay red in k four please,6
lrik5a.mpg,lay red in k five again,6
lriq6n.mpg,lay red in q six now,6
lriq7s.mpg,lay red in q seven soon,6
lriq8p.mpg,lay red in q eight please,6
lriq9a.mpg,lay red in q nine again,6
lriy1s.mpg,lay red in y one soon,6
lriy2p.mpg,lay red in y two please,6
lriy3a.mpg,lay red in y three again,6
lriyzn.mpg,lay red in y zero now,6
lrwf1s.mpg,lay red with f one soon,6
lrwf2p.mpg,lay red with f two please,6
lrwf3a.mpg,lay red with f three again,6
lrwfzn.mpg,lay red with f zero now,6
lrwl4n.mpg,lay red with l four now,6
lrwl5s.mpg,lay red with l five soon,6
lrwl6p.mpg,lay red with l six please,6
lrwl7a.mpg,lay red with l seven again,6
lrwr8n.mpg,lay red with r eight now,6
lrwr9s.mpg,lay red with r nine soon,6
lrws1a.mpg,lay red with s one again,6
lrwszp.mpg,lay red with s zero please,6
lrwz2n.mpg,lay red with z two now,6
lrwz3s.mpg,lay red with z three soon,6
lrwz4p.mpg,lay red with z four please,6
lrwz5a.mpg,lay red with z five again,6
lwae8n.mpg,lay white at e eight now,6
lwae9s.mpg,lay white at e nine soon,6
lwaf1a.mpg,lay white at f one again,6
lwafzp.mpg,lay white at f zero please,6
lwal2n.mpg,lay white at l two now,6
lwal3s.mpg,lay white at l three soon,6
lwal4p.mpg,lay white at l four please,6
lwal5a.mpg,lay white at l five again,6
lwar6n.mpg,lay white at r six now,6
lwar7s.mpg,lay white at r seven soon,6
lwar8p.mpg,lay white at r eight please,6
lwar9a.mpg,lay white at r nine again,6
lwaz1s.mpg,lay white at z one soon,6
lwaz2p.mpg,lay white at z two please,6
lwaz3a.mpg,lay white at z three again,6
lwazzn.mpg,lay white at z zero now,6
lwbf2n.mpg,lay white by f two now,6
lwbf3s.mpg,lay white by f three soon,6
lwbf4p.mpg,lay white by f four please,6
lwbf5a.mpg,lay white by f five again,6
lwbl6n.mpg,lay white by l six now,6
lwbl7s.mpg,lay white by l seven soon,6
lwbl8p.mpg,lay white by l eight please,6
lwbl9a.mpg,lay white by l nine again,6
lwbs1s.mpg,lay white by s one soon,6
lwbs2p.mpg,lay white by s two please,6
lwbs3a.mpg,lay white by s three again,6
lwbszn.mpg,lay white by s zero now,6
lwbz4n.mpg,lay white by z four now,6
lwbz5s.mpg,lay white by z five soon,6
lwbz6p.mpg,lay white by z six please,6
lwbz7a.mpg,lay white by z seven again,6
lwie4n.mpg,lay white in e four now,6
lwie5s.mpg,lay white in e five soon,6
lwie6p.mpg,lay white in e six please,6
lwie7a.mpg,lay white in e seven again,6
lwik8n.mpg,lay white in k eight now,6
lwik9s.mpg,lay white in k nine soon,6
lwil1a.mpg,lay white in l one again,6
lwilzp.mpg,lay white in l zero please,6
lwir2n.mpg,lay white in r two now,6
lwir3s.mpg,lay white in r three soon,6
lwir4p.mpg,lay white in r four please,6
lwir5a.mpg,lay white in r five again,6
lwiy6n.mpg,lay white in y six now,6
lwiy7s.mpg,lay white in y seven soon,6
lwiy8p.mpg,lay white in y eight please,6
lwiy9a.mpg,lay white in y nine again,6
lwwf6n.mpg,lay white with f six now,6
lwwf7s.mpg,lay white with f seven soon,6
lwwf8p.mpg,lay white with f eight please,6
lwwf9a.mpg,lay white with f nine again,6
lwwm1s.mpg,lay white with m one soon,6
lwwm2p.mpg,lay white with m two please,6
lwwm3a.mpg,lay white with m three again,6
lwwmzn.mpg,lay white with m zero now,6
lwws4n.mpg,lay white with s four now,6
lwws5s.mpg,lay white with s five soon,6
lwws6p.mpg,lay white with s six please,6
lwws7a.mpg,lay white with s seven again,6
lwwz8n.mpg,lay white with z eight now,6
lwwz9s.mpg,lay white with z nine soon,6
pbac1s.mpg,place blue at c one soon,6
pbac2p.mpg,place blue at c two please,6
pbac3a.mpg,place blue at c three again,6
pbaczn.mpg,place blue at c zero now,6
pbai4n.mpg,place blue at i four now,6
pbai5s.mpg,place blue at i five soon,6
pbai6p.mpg,place blue at i six please,6
pbai7a.mpg,place blue at i seven again,6
pbao8n.mpg,place blue at o eight now,6
pbao9s.mpg,place blue at o nine soon,6
pbap1a.mpg,place blue at p one again,6
pbapzp.mpg,place blue at p zero please,6
pbav2n.mpg,place blue at v two now,6
pbav3s.mpg,place blue at v three soon,6
pbav4p.mpg,place blue at v four please,6
pbav5a.mpg,place blue at v five again,6
pbbc4n.mpg,place blue by c four now,6
